"intercept","eqid","statid","M","VS","Rrup","Rjb","eq","stat","M_stat","VS_gmean"
1,7,133,6.6,219.31,91.22,91.15,1,1,6.6,219.31
1,12,326,7.36,316.46,117.75,114.62,2,2,6.656,316.46
1,25,131,6.19,408.93,17.64,17.64,3,3,6.19,408.93
1,25,127,6.19,289.56,9.58,9.58,3,4,6.19,289.56
1,25,129,6.19,256.82,12.9,12.9,3,5,6.19,256.82
1,25,162,6.19,527.92,15.96,15.96,3,6,6.19,527.92
1,28,326,6.63,316.46,222.42,222.42,4,2,6.656,316.46
1,28,90,6.63,442.88,129.11,129.11,4,7,6.63,442.88
1,30,3,6.61,280.56,55.2,55.2,5,8,6.61,280.56
1,30,67,6.61,360.45,173.16,173.16,5,9,6.61,360.45
1,30,71,6.61,235,61.79,61.79,5,10,6.3,235
1,30,323,6.61,450.28,22.63,19.33,5,11,6.34166666666667,450.28
1,30,76,6.61,634.33,30.19,25.58,5,12,6.61,634.33
1,30,272,6.61,328.09,139.14,139.14,5,13,5.78916666666667,328.092499971426
1,30,137,6.61,591,130.98,130,5,14,6.61,591
1,30,326,6.61,316.46,22.77,22.77,5,2,6.656,316.46
1,30,320,6.61,425.34,27.4,22.23,5,15,6.25166666666667,425.33333307209
1,30,80,6.61,602.1,19.3,13.99,5,16,6.61,602.1
1,30,77,6.61,600.06,25.07,19.45,5,17,6.61,600.06
1,30,79,6.61,670.84,22.57,17.22,5,18,6.65,670.84
1,30,82,6.61,452.86,28.99,24.16,5,19,6.11,452.867999717367
1,30,84,6.61,529.09,38.97,35.54,5,20,6.61,529.09
1,30,85,6.61,248.98,68.84,68.84,5,21,6.61,248.98
1,30,87,6.61,421.44,52.64,52.64,5,22,6.61,421.44
1,30,104,6.61,459.37,108.01,108.01,5,23,6.61,459.37
1,30,68,6.61,667.13,30.7,30.7,5,24,6.61,667.13
1,30,95,6.61,487.23,61.73,61.72,5,25,6.61,487.23
1,30,149,6.61,347.67,70.23,68.38,5,26,6.61,347.67
1,30,96,6.61,298.68,39.45,39.45,5,27,6.61,298.68
1,30,99,6.61,486,62.23,61.64,5,28,5.44,486
1,48,449,5.74,561.43,6.13,5.3,6,29,5.492,561.417999807629
1,48,424,5.74,1428.14,10.67,10.21,6,30,6.28666666666667,1428.14
1,48,425,5.74,270.84,9.02,8.47,6,31,5.79,270.82999944612
1,48,426,5.74,349.85,7.42,6.75,6,32,5.37666666666667,349.866665872739
1,48,450,5.74,221.78,5.7,4.79,6,33,5.79,221.784999830922
1,48,451,5.74,663.31,3.11,0.42,6,34,5.612,663.307999987939
1,48,448,5.74,281.61,33.83,33.69,6,35,6.28666666666667,281.61
1,48,421,5.74,367.43,20.67,20.44,6,36,4.97,367.414999693807
1,48,422,5.74,362.98,20.67,20.44,6,37,5.74,362.98
1,48,418,5.74,335.5,19.7,19.46,6,38,5.305,335.5
1,50,243,6.53,259.86,0.34,0,7,39,6.53,259.86
1,50,245,6.53,242.05,0.65,0,7,40,6.53,242.05
1,50,210,6.53,223.03,2.66,0.44,7,41,6.865,223.03
1,50,216,6.53,208.71,10.42,8.54,7,42,6.296,208.71
1,50,209,6.53,231.23,10.45,10.45,7,43,5.932,231.23
1,50,217,6.53,205.78,24.6,23.17,7,44,6.256,205.78
1,50,240,6.53,471.53,15.19,15.19,7,45,6.43,471.53
1,50,247,6.53,242.05,7.29,7.29,7,46,6.68666666666667,242.05
1,50,219,6.53,336.49,50.1,49.1,7,47,6.53,336.49
